Отметка времени,İşlədiyiniz müəssisənin növü,Elmi tədqiqatın ixtisas sahəsi  ,Vəzifəniz (ştat və ya yarımştat),Neçə ildir elmi rəhbər kimi çalışırsınız?,Hazırda rəhbərlik etdiyiniz doktorantların sayı  ,Çalışdığınız müəssisənin yerləşdiyi region,Elmi rəhbərlik forması, Tələbələrinizlə rəsmi elmi rəhbərlik görüşlərinin tezliyi ,Doktorantura proqramının başlanğıcında gözləntilər sizə aydın olurmu?,Akademik avtoritet kimi çıxış etmək,Tədqiqat metodlarını öyrətmək,Elmi etikaya yüksək səviyyədə riayət olunmasını təmin etmək ,İmtahanlara hazırlanma prosesində iştirak ,Nəşrlərlə bağlı məsləhət və dəstək vermək  ,Doktorantı şəxsi elmi tədqiqat layihələrinə cəlb etmək ,Elmi rəhbər kimi öhdəliklərimi səmərəli şəkildə yerinə yetirmək üçün kifayət qədər vaxtım var,Müəssisə doktorantlara elmi rəhbərlik üçün kifayət qədər inzibati dəstək göstərir ,Çalışdığım müəssisədə elmi rəhbərlər üçün təlim imkanları əlçatandır ,Dissertasiya şurasının prosedurları elmi keyfiyyəti və işin vaxtında tamamlanmasını təmin edir ,Mövcud maliyyələşdirmə mexanizmləri doktoranturanın uğurla tamamlanması üçün kifayətdir,Doktorantlar ümumilikdə dissertasiyanın təqdimatı və müdafiəsi üçün hazırlıqlı olurlar,Doktorantların təhsilini uğurla başa vurmaq üçün tələb olunan kurslarda iştirak etmək imkanları kifayət qədərdirmi?  ,Doktorantlarımın əksəriyyəti təhsillərini gözlənilən müddət ərzində uğurla tamamlaya bilirlər,Doktoranturanın tamamlanmasında yaranan gecikmələrin əksəriyyəti doktorantın özündən asılı olmayan amillərlə bağlıdır ,"Təcrübənizə əsasən, müəssisənizdə doktorantların doktorantura layihəsini tamamlaması üçün tələb olunan orta müddət nə qədərdir? ",Doktorantura proqramlarının icrası doktorantların akademik olmayan mühitdə karyerasının formalaşmasına da xidmət edir,Doktorantlarımla akademiyadan kənarda karyera imkanlarını müzakirə edirəm ,Rəhbərlik etdiyim doktorantlar ümumilikdə akademiyadan kənar məşğulluq üçün yaxşı hazırlaşmış olurlar ,Doktorantlar təhsilləri müddətində tez-tez yüksək stress yaşayırlar ,İnstitusional dəstək elmi rəhbərlərə doktorantların rifahı ilə bağlı məsələləri effektiv şəkildə həll etməyə imkan verir,Elmi rəhbərlər münaqişələrin həlli prosedurları barədə kifayət qədər məlumatlandırılmışdırlar  ,Tədqiqat etikası qaydalarını doktorantlara izah etmək və onları istiqamətləndirmək baxımından özünüzü nə dərəcədə hazır hesab edirsiniz?  ,Doktorantlara tədqiqat metodları üzrə təlim verməyə cavabdeh şəxs sizsinizmi?  ,"Doktorantlara elmi rəhbərlik üçün süni intellekt alətlərindən istifadə edirəm (məsələn, rəy vermə, ədəbiyyat axtarışı, üslubun yoxlanılması) ",Doktorantlarla süni intellekt alətlərindən düzgün istifadə məsələlərini müzakirə edirəm ,Müəssisədə doktorantura tədqiqatı və elmi rəhbərlikdə süni intellekt istifadəsi ilə bağlı aşkar qaydalar mövcuddur ,"Zəhmət olmasa, islahat üçün ən vacib hesab etdiyiniz üç istiqaməti seçin:  ",Doktoranturada elmi rəhbərliyin keyfiyyətini artırmaq üçün hansı dəyişiklik ən böyük təsir göstərə bilər?  ,Doktorantura təhsilinin təkmilləşdirilməsi ilə bağlı əlavə şərh və ya təkliflərinizi qeyd edin   
18.03.2026 16:24:16,Universitet,Comparative-Historical and Comparative-Typological Linguistics (5714.01),Kafedra müdiri (yarimştat professor),5,1,Bakı,Individual,Həftədə bir dəfə,Qismən aydındır,Vacibdir,Vacibdir,Vacibdir,Qismən əhəmiyyətlidir,Vacibdir,Vacibdir,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Qismən razıyam,Qismən razıyam,Qismən kifayətdir,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,4-5 il,Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Qismən hazıram,"Bəli, əsasən mən",Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,"Attestasiya və dissertasiya şurası prosedurları, İnzibati səmərəlilik və müddətlər, Elmi rəhbərlik üçün institusional dəstək",Elmi rəhbərlik üçün saat artırılmalı və maliyyə dəstəyi,Doktorantlara və rəhbərlərinə xaricə əlaqələr üçün yaradıcılıq ezamiyyətlərin mayiyyələşdiriməsi
18.03.2026 16:37:29,Universitet,Microbiology,aparıcı elmi işçi,1,1,Bakı,Joint ,Həftədə bir dəfə,Cavab verməkdə çətinlik çəkirəm,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Heç razı deyiləm,Heç razı deyiləm,Qismən razıyam,Əsasən kifayət deyil,Heç razı deyiləm,Çox razıyam,3-4 il,Heç razı deyiləm,Qismən razıyam,Qismən razıyam,Çox razıyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Çox hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Qismən razıyam,Qismən razıyam,Raziyam,"Attestasiya və dissertasiya şurası prosedurları, İnzibati səmərəlilik və müddətlər, Qaydaların aydınlığı və sabitliyi, Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Elmi rəhbərlik üçün institusional dəstək, Elmi rəhbərlərin təlimi və peşəkar inkişafı, Tədqiqat etikası və akademik dürüstlük prosedurları, Doktorantura tədqiqatında süni intellektin istifadəsi və qaydaların tənzimlənməsi, Doktorantlar üçün maliyyə dəstəyi, Qeyri-akademik karyeraya hazırlıq, Rifah və psixi sağlamlıq dəstəyi, Münaqişələrin həlli mexanizmləri",doktoranta təyin olunan mövzuya uyğun maliyyə dəstəyi olmalıdır.,təsssüf ki islərin yerinə yetirilməsi üçün maddi texniki baza demək olar ki yox səviyyəsindədir. Buna baxmayaraq hər il doktoranturaya sənəd verənlərin sayı artır və sonda müdafiə belə edə bilmirlər.
18.03.2026 16:44:29,Universitet,Mathematics,Ştat,15,1,Bakı,Individual,Həftədə bir dəfə,Qismən aydındır,Az əhəmiyyətlidir,Çox vacibdir,Çox vacibdir,Qismən əhəmiyyətlidir,Çox vacibdir,Vacibdir,Qismən razıyam,Qismən razıyam,Raziyam,Qismən razıyam,Heç razı deyiləm,Heç razı deyiləm,Əsasən kifayət deyil,Heç razı deyiləm,Raziyam,4-5 il,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Heç razı deyiləm,Cavab verməkdə çətinlik çəkirəm,Heç razı deyiləm,Heç razı deyiləm,Qismən hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Raziyam,Raziyam,Heç razı deyiləm,"İnzibati səmərəlilik və müddətlər, Elmi rəhbərlik üçün institusional dəstək, Doktorantlar üçün maliyyə dəstəyi",Elmi rəhbərlik üçün ayrılan dərs yükü artırılmalıdır. ,Xarici dildən qəbul və minimum imtahanları nisbətən asanlaşdırılmalıdır
18.03.2026 16:47:16,Universitet,Nanotechnologies and Nanomaterials,Laboratoriya müdiri,20,3,Bakı,Individual,Həftədə bir dəfə,Çox aydındır,Vacibdir,Çox vacibdir,Çox vacibdir,Vacib deyil,Çox vacibdir,Çox vacibdir,Raziyam,Heç razı deyiləm,Qismən razıyam,Heç razı deyiləm,Heç razı deyiləm,Raziyam,Ümumilikdə kifayət deyil,Raziyam,Qismən razıyam,3-4 il,Qismən razıyam,Raziyam,Raziyam,Qismən razıyam,Heç razı deyiləm,Heç razı deyiləm,Çox hazıram,"Bəli, əsasən mən",Heç razı deyiləm,Qismən razıyam,Qismən razıyam,"Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Elmi rəhbərlik üçün institusional dəstək, Doktorantlar üçün maliyyə dəstəyi",,"Elmii rəhbərlərə doktorantlara görə verilən illik məvacib 400-800)azn onlar üçün təhqirdən başqa bir şey deyil. Rəhbərlərin mükafatlandırılması diferensial olmalıdır. Onların yetişdirdikləri mütəxəssislərin məqalələri, jurnallara yaza bildikləri rəylər və s. asılı olaraq onlara verilən maddi və maliyyə dəstəyi dəyişməlidir. Və s. və i.a."
18.03.2026 17:25:24,Universitet,History,Magistratura və doktorantura şöbəsinin müdiri,2,1,Bakı,Individual,Ayda bir dəfə,Çox aydındır,Qismən əhəmiyyətlidir,Çox vacibdir,Çox vacibdir,Vacibdir,Çox vacibdir,Çox vacibdir,Raziyam,Raziyam,Çox razıyam,Raziyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,Qismən kifayətdir,Qismən razıyam,Raziyam,3-4 il,Qismən razıyam,Qismən razıyam,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Qismən razıyam,Çox hazıram,"Xeyr, bu əsasən formal kurslar və ya digər bölmələr tərəfindən təmin olunur",Heç razı deyiləm,Qismən razıyam,Heç razı deyiləm,"Attestasiya və dissertasiya şurası prosedurları, Qaydaların aydınlığı və sabitliyi, Elmi rəhbərlik üçün institusional dəstək",Rəhbər üzərində tələbkarlığı artırmaq və rəhbəri həvəsləndirmək,Xarici dildən imtahanı götürmək və Doktorantura şğbəsinin statusunu genişləndirmək.
18.03.2026 18:26:33,Universitet,Information Law,ştat,8,6,Bakı,Individual,Ayda bir dəfə,Cavab verməkdə çətinlik çəkirəm,Az əhəmiyyətlidir,Çox vacibdir,Çox vacibdir,Vacib deyil,Çox vacibdir,Vacibdir,Raziyam,Heç razı deyiləm,Heç razı deyiləm,Qismən razıyam,Heç razı deyiləm,Raziyam,Əsasən kifayət deyil,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,4-5 il,Qismən razıyam,Heç razı deyiləm,Raziyam,Qismən razıyam,Raziyam,Heç razı deyiləm,Çox hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Heç razı deyiləm,Raziyam,Heç razı deyiləm,"İnzibati səmərəlilik və müddətlər, Qaydaların aydınlığı və sabitliyi, Elmi rəhbərlik üçün institusional dəstək, Doktorantura tədqiqatında süni intellektin istifadəsi və qaydaların tənzimlənməsi","Prosedur qaydalar sadələşdirilməlidir. Məsələn, Seminar Şurasının fəaliyyəti ümumiyyətlə formaldır.",
18.03.2026 19:01:23,Universitet,Oil and Gas Field Development and Operation,yarımştat professor,22,4,Bakı,Individual,Həftədə bir dəfə,Çox aydındır,Çox vacibdir,Çox vacibdir,Çox vacibdir,Qismən əhəmiyyətlidir,Çox vacibdir,Vacibdir,Çox razıyam,Çox razıyam,Çox razıyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,Raziyam,Tam kifayətdir,Çox razıyam,Qismən razıyam,3-4 il,Qismən razıyam,Raziyam,Çox razıyam,Qismən razıyam,Raziyam,Raziyam,Çox hazıram,"Bəli, əsasən mən",Heç razı deyiləm,Qismən razıyam,Qismən razıyam,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlik üçün institusional dəstək, Doktorantlar üçün maliyyə dəstəyi",Elmi rəhbərlik üçün institusional dəstəyin verilməsi,Elmi rəhbərlik üçün institusional dəstəyin gücləndirilməsi və doktorantlar üçün daha yaxşı tədqiqat şəraitinin yaradılması
18.03.2026 19:29:31,Universitet,"Materials Technology, Metallurgy, Materials Science",1 ştat pofessor,32,4,Bakı,Individual,Ayda bir dəfə,Çox aydındır,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Çox vacibdir,Vacibdir,Raziyam,Raziyam,Raziyam,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Qismən kifayətdir,Raziyam,Qismən razıyam,4-5 il,Raziyam,Raziyam,Qismən razıyam,Raziyam,Qismən razıyam,Qismən razıyam,Çox hazıram,"Bəli, əsasən mən",Raziyam,Raziyam,Raziyam,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Elmi rəhbərlik üçün institusional dəstək","Tədqiqat bazasının mövcudluğu, dokturantura üçün dərs yükünün optimallaşdırilması","AAK-ın ləğv edilməsi, doktorantın və dissertasiyanın alimlər tərəfindən qiymətləndirilməsi"
18.03.2026 20:28:34,Universitet,Biochemistry,müəllim,7,1,Bakı,Joint ,Ayda bir dəfə,Çox aydındır,Vacibdir,Çox vacibdir,Çox vacibdir,Vacib deyil,Çox vacibdir,Vacibdir,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Qismən razıyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Qismən kifayətdir,Raziyam,Qismən razıyam,4-5 il,Qismən razıyam,Qismən razıyam,Qismən razıyam,Çox razıyam,Çox razıyam,Raziyam,Çox hazıram,"Bəli, əsasən mən",Çox razıyam,Çox razıyam,Raziyam,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Elmi rəhbərlərin təlimi və peşəkar inkişafı, Doktorantura tədqiqatında süni intellektin istifadəsi və qaydaların tənzimlənməsi",maddi-texniki bazanın təmini,
18.03.2026 20:50:25,Universitet,History,Professor,30,2,Bakı,Individual,Ayda bir dəfə,Çox aydındır,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Vacibdir,Raziyam,Qismən razıyam,Qismən razıyam,Raziyam,Heç razı deyiləm,Raziyam,Qismən kifayətdir,Raziyam,Qismən razıyam,4-5 il,Raziyam,Raziyam,Raziyam,Qismən razıyam,Raziyam,Raziyam,Çox hazıram,"Bəli, əsasən mən",Qismən razıyam,Raziyam,Qismən razıyam,"Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Tədqiqat etikası və akademik dürüstlük prosedurları, Doktorantlar üçün maliyyə dəstəyi",Doktoranturada elmi rəhbərlik üçün ayrılmış tədris saatlarının indiki miqdarının saxlanması,"Doktotanta maliyyə dəstəyi: Müxtəlif arxivlərdə işləmək üçün ezamiyyət xərclərinin qarşılanması, xarici ölkələrdə elmi konfranslarda iştirak üçün xərclərin qarşılanması, indekslənən nəşrlərdə elmi məqalə xərclərinin qarşılanması."
18.03.2026 21:02:11,Universitet,"Chemistry, Petrochemistry",Qida və Biotexnologiya kafedrasının müdiri,8,5,Abşeron - Xızı,Individual,Həftədə bir dəfə,Qismən aydındır,Vacib deyil,Çox vacibdir,Çox vacibdir,Qismən əhəmiyyətlidir,Çox vacibdir,Çox vacibdir,Raziyam,Raziyam,Raziyam,Heç razı deyiləm,Heç razı deyiləm,Qismən razıyam,Qismən kifayətdir,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,4-5 il,Heç razı deyiləm,Cavab verməkdə çətinlik çəkirəm,Heç razı deyiləm,Heç razı deyiləm,Heç razı deyiləm,Cavab verməkdə çətinlik çəkirəm,Qismən hazıram,"Bəli, əsasən mən",Heç razı deyiləm,Qismən razıyam,Raziyam,"Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Tədqiqat etikası və akademik dürüstlük prosedurları, Doktorantlar üçün maliyyə dəstəyi",Azərbaycanda formalaşmış elmi məktəbləri qorumaq və inkişafı üçün dəstək olmaq. Bəzi tədqiqatları tamamlamaq üçün elmi tədqiqat mərkəzlərin yazadılması.,Doktorantura təhsilini təkminləşdirmək üçün resursları zənginləşdirmək lazımdır. Bunun üçün Türkiyənin 1990-cı ildən bu günə kimi qazandığı uğurlara baxaraq həmin yolla irəliləmək lazımdır.
18.03.2026 21:23:07,Universitet,Psychology,Professor ,30,6,Bakı,Individual,Ayda bir dəfə,Çox aydındır,Qismən əhəmiyyətlidir,Çox vacibdir,Çox vacibdir,Vacib deyil,Çox vacibdir,Qismən əhəmiyyətlidir,Raziyam,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Qismən razıyam,Raziyam,Qismən kifayətdir,Heç razı deyiləm,Qismən razıyam,3-4 il,Qismən razıyam,Raziyam,Raziyam,Raziyam,Heç razı deyiləm,Qismən razıyam,Çox hazıram,"Bəli, əsasən mən",Qismən razıyam,Qismən razıyam,Qismən razıyam,"Qaydaların aydınlığı və sabitliyi, Elmi rəhbərlik üçün institusional dəstək, Doktorantura tədqiqatında süni intellektin istifadəsi və qaydaların tənzimlənməsi",Elmi rəhbərlərin əməyinin maddi qiymətləndirilməsi onların motivasiyasına müsbət təsir göstərər,Süni intellektin redurs kimi istifafəsini təkmilləşdirmək.  
18.03.2026 22:30:01,Universitet,Economics,dosent,10,3,Bakı,Individual,Ayda bir dəfə,Qismən aydındır,Vacibdir,Çox vacibdir,Çox vacibdir,Vacibdir,Çox vacibdir,Vacibdir,Raziyam,Heç razı deyiləm,Raziyam,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Əsasən kifayət deyil,Qismən razıyam,Qismən razıyam,5-6 il,Qismən razıyam,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Qismən razıyam,Qismən razıyam,Çox hazıram,"Bəli, əsasən mən",Raziyam,Raziyam,Raziyam,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Doktorantlar üçün maliyyə dəstəyi","elmi rəhbərlər ixtisasa uyğun və mövzu üzrə hakim olmalıdır. attestasiyalarda, müzakirələrdə və xüsusən müdafiədə elmi rəhbərin iştirakı məcburi olmalıdır. elmi rəhbərin rəyi yeganə göstərici ola bilməz. elmi tədqiqatın aparılması və müdafiə prorsində birbaşa iştirakçi olmalıdır. ","təhsilin kreditləşməsi, minimumların verilməsindən əvvəl təhsil proqramı ilə hazırlıq, doktorantranların transferi, elmi rəhbərlərin ixtisas və mövzu üzrə hakim olması, doktorant elmi müəssisənin yetirməsi olması və akadmeik fəaliyyətinin davamlılğının təmini olunmalı, maliyyə ayırımı, tədqiqatların aparılmasının ölkədaxili və ölkəxarici aparılmasının dəstəklənməsi"
18.03.2026 23:10:51,Universitet,History,Dosent,1,1,Bakı,Individual,Həftədə bir dəfə,Çox aydındır,Qismən əhəmiyyətlidir,Vacibdir,Çox vacibdir,Vacib deyil,Çox vacibdir,Qismən əhəmiyyətlidir,Raziyam,Heç razı deyiləm,Heç razı deyiləm,Heç razı deyiləm,Heç razı deyiləm,Heç razı deyiləm,Ümumilikdə kifayət deyil,Heç razı deyiləm,Raziyam,3-4 il,Raziyam,Heç razı deyiləm,Raziyam,Raziyam,Heç razı deyiləm,Heç razı deyiləm,Çox hazıram,"Bəli, digər şəxslərlə birlikdə (məsələn, kurslar, doktorantura məktəbi, birgə rəhbərlər)",Raziyam,Raziyam,Heç razı deyiləm,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlik üçün institusional dəstək, Doktorantlar üçün maliyyə dəstəyi",Müəssisələrdə doktorantların mövzu və elmi rəhbər seçimindəki qeyri-rəsmi inhisarın aradan qaldırılması və daha məsuliyyətli araşdırmaçılara elmi rəhbər olmaq imkanının yaradılması.,"Doktorantura təhsilində formal atestasiyaların aradan qaldırılması və ciddi araşdırmaların aparılması üçün aidiyyatlı təhsil müəssisəsi tərəfindən maliyyə dəstəyinin ayrılması şərtdir. Məsələn, arxivlərdə işləmək üçün ciddi maliyyə dəstəyinə ehtiyac var, doktorant bunu öz imkanları hesabına edə bilmir, müəssisə isə bu məsələdə maraqlı deyil. Ona görə də işlərin tədqiqat səviyyəsi arzuolunan səviyyədə deyil. Xaricdə beynəlxalq konfransda iştirak etmək vacibdir, lakin buna maliyyə dəstəyi verilmir. Doktorantura təhsili çərçivəsində müəssisə bütün bunları nəzərə almalı, sahə üzrə beynəlxalq rəqabətə davamlı doktorantların yetişdirilməsi üçün öz strategiyasını hazırlamalıdır. Burada isə mütləq maliyyə dəstəyi nəzərə alınmalıdır."
18.03.2026 23:23:00,Universitet,Sectoral Economics (5312.01), yarımştat dosent,4,2,Bakı,Individual,Həftədə bir dəfə,Qismən aydındır,Vacibdir,Çox vacibdir,Çox vacibdir,Qismən əhəmiyyətlidir,Çox vacibdir,Vacibdir,Raziyam,Raziyam,Qismən razıyam,Qismən razıyam,Heç razı deyiləm,Raziyam,Əsasən kifayət deyil,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,3-4 il,Heç razı deyiləm,Qismən razıyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Raziyam,Çox hazıram,"Bəli, əsasən mən",Qismən razıyam,Raziyam,Qismən razıyam,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlik üçün institusional dəstək, Doktorantlar üçün maliyyə dəstəyi",Maliyyə dəstəyinin artırılması,Tədqiqatların maliyyələşdirilməsi mexanizmlərinin təkmilləşdirilməsi və maliyyənin artırılması
18.03.2026 23:24:40,Universitet,Ornithology,"Kafedra müdiri-tam ştat
Müəllim - yarımştat",6,2,Bakı,Individual,Ayda bir dəfə,Çox aydındır,Vacibdir,Vacibdir,Vacibdir,Vacib deyil,Vacibdir,Vacibdir,Qismən razıyam,Qismən razıyam,Qismən razıyam,Qismən razıyam,Heç razı deyiləm,Qismən razıyam,Ümumilikdə kifayət deyil,Raziyam,Qismən razıyam,4-5 il,Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Qismən razıyam,Qismən razıyam,Çox hazıram,"Bəli, əsasən mən",Raziyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,"Qaydaların aydınlığı və sabitliyi, Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Doktorantlar üçün maliyyə dəstəyi",Elmi rəhbərə  doktoranta görə ayrılan maliyə vəsaiti və doktorantın gələcək iş yerlərində maliyyə təminatı,"Doktorantın və elmi rəhbərin maliyyə təminatı
Qeyd olunan suallar doktorantura pilləsini qiymətləndirmək üçün kifayət deyil. "
19.03.2026 0:03:18,Universitet,History,dosent (ştat),,3,Bakı,Individual,Həftədə bir dəfə,Qismən aydındır,Vacibdir,Çox vacibdir,Çox vacibdir,Qismən əhəmiyyətlidir,Vacibdir,Qismən əhəmiyyətlidir,Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Heç razı deyiləm,Cavab verməkdə çətinlik çəkirəm,Raziyam,Əsasən kifayət deyil,Heç razı deyiləm,Raziyam,5-6 il,Raziyam,Qismən razıyam,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Heç razı deyiləm,Çox hazıram,"Xeyr, bu əsasən formal kurslar və ya digər bölmələr tərəfindən təmin olunur",Heç razı deyiləm,Qismən razıyam,Heç razı deyiləm,"Attestasiya və dissertasiya şurası prosedurları, Elmi rəhbərlərin iş yükü və vaxt bölgüsü, Doktorantlar üçün maliyyə dəstəyi",Təhsil prosesində iştirak edən elmi rəhbərlərin dərs yüklərinin ağır olması ilə əlaqədar elmi rəhbərliyi daha səmərəli həyata keçirmələri üçün iş şəraiti nəzərə alına bilər. Tədqiqat mövzularının aktuallığı və problemlərin mürəkkəbliyi nəzərə alınmaqla doktrantlara fəqrli yanaşma təqdim olunmalıdır. Elmi rəhbərlikdə tələbkar davranış doktrantın akademik - elmi azadlığını boğmamalıdır. ,Doktranturaya qəbul magistraturanın dərhal bitirilməsindən sonra olmamalıdır. Magistratura mərhələsində iddaçı tarix elminin problematik mövzuları ilə tam və hərtərəfli tanışlıq imkanı qazanmır. Doktranturaya qəbula kimi iddiaçı elmi konfranslarda çıxış etməli və elmi tədqiat bacarığını nümayiş etdirməlidir. Qəbul imtahanlarında informatika və məntiq kimi əhəmiyyətsiz fənnlər əvəzində ixtisas üzrə əlavə fənndən imtahanın verilməsi daha yaxşı olardı. 
19.03.2026 1:04:17,Universitet,Transport Process Management (Railway Sector),Dosent,1,1,Abşeron - Xızı,Individual,Həftədə bir dəfə,Qismən aydındır,Vacibdir,Vacibdir,Vacibdir,Vacib deyil,Çox vacibdir,Vacib deyil,Raziyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Heç razı deyiləm,Raziyam,Qismən kifayətdir,Cavab verməkdə çətinlik çəkirəm,Raziyam,3-4 il,Raziyam,Raziyam,Raziyam,Raziyam,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Qismən hazıram,"Bəli, əsasən mən",Raziyam,Raziyam,Qismən razıyam,"Elmi rəhbərlik üçün institusional dəstək, Doktorantura tədqiqatında süni intellektin istifadəsi və qaydaların tənzimlənməsi, Doktorantlar üçün maliyyə dəstəyi, Rifah və psixi sağlamlıq dəstəyi","Doktorantura təhsilində yeni istiqamətlər və yanaşmalar üzrə təlimlərin keçirilməsi, Scopusda məqalələrin ödənişlərində güzəştlərin tətbiq edilməsi","1. Dissertasiyanın müdafiəsi prosedurları təkmilləşdirilməlidir. Yerinə yetirilmiş iş öz aktuallığını itirməsin deyə biraz tezləşdirmə mexanizminə ehtiyac var. 
2. Doktorantura təhsili çox da əlçatan olmamalıdır. Əsasən də, əsgərlikdən yayınma mexanizminin rahat elementi kimi. Məncə, qəbul sənədlərində minimum iki mütəxəssisin tövsiyyə xarakterli rəyləri əlavə olunmalıdır.
3. Hamımıza Uğurlar Arzulayıram!"
19.03.2026 1:11:20,Universitet,History,Tam ştat dosent,8,1,Bakı,Individual,Ayda bir dəfə,Çox aydındır,Qismən əhəmiyyətlidir,Vacibdir,Vacibdir,Qismən əhəmiyyətlidir,Vacibdir,Qismən əhəmiyyətlidir,Cavab verməkdə çətinlik çəkirəm,Heç razı deyiləm,Heç razı deyiləm,Heç razı deyiləm,Heç razı deyiləm,Qismən razıyam,Ümumilikdə kifayət deyil,Qismən razıyam,Raziyam,3-4 il,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam,Qismən razıyam,Çox razıyam,Heç razı deyiləm,Heç razı deyiləm,Çox hazıram,"Xeyr, bu əsasən formal kurslar və ya digər bölmələr tərəfindən təmin olunur",Heç razı deyiləm,Raziyam,Cavab verməkdə çətinlik çəkirəm,"Attestasiya və dissertasiya şurası prosedurları, Qaydaların aydınlığı və sabitliyi, Doktorantlar üçün maliyyə dəstəyi","Doktorantı müdafiə edə bilməyən, həmçinin akademik baxımdan zəif araşdırma təqdim edən rəhbərə yeni elmi rəhbərlik verilməməlidir","Doktiranturada təhsil müddətində ixtisas dərslərinin, həmçinin dissertasiya mövzusu üzrə ""Rəhbər dərsi""nin keçirilməsi faydalı ola bilər. Əksər hallarda rəhbərlər doktorantlarla maraqlanmırlar, işlərini sadəcə attesrasiya zamanı lazımi sənədləri imzalamaqla, dissertasiya müzakirəyə təqdim edilərkən rəy verməklə bitmiş hesab edirlər. Bu baxımdan, rəhbər olmağa görə verilən maaş dərs saatına və ya konkret zaman ərzində doktorantla auditoriya işinə görə veriləcək maaşla əvəzlənməlidir."
19.03.2026 7:35:02,Universitet,International Relations,Kafedra müdiri ,2,2,Bakı,Individual,Həftədə bir dəfə,Çox aydındır,Vacibdir,Vacibdir,Çox vacibdir,Vacibdir,Çox vacibdir,Vacibdir,Qismən razıyam,Qismən razıyam,Qismən razıyam,Raziyam,Raziyam,Raziyam,Tam kifayətdir,Raziyam,Heç razı deyiləm,4-5 il,Qismən razıyam,Raziyam,Raziyam,Raziyam,Çox razıyam,Çox razıyam,Çox hazıram,Tətbiq olunmur,Heç razı deyiləm,Qismən razıyam,Heç razı deyiləm,"Elmi rəhbərlərin təlimi və peşəkar inkişafı, Doktorantlar üçün maliyyə dəstəyi",,
