Specialty,Education year,Form,Employement,FinancialSatisfaction,Psixoloji və sosial dəstək xidmətlərinin əlçatanlığını necə qiymətləndirirsiniz?,"Tədqiqat resurslarına və infrastrukturuna çıxış imkanlarınızı 1-dən 10-a qədər qiymətləndirin
",Supervisor_meeting,Quality_supervisor,Clearity_supervisor,supervising_progress,Supervisor_access,Supervisor_satisfaction,Təhsil dövründə iş–şəxsi həyatımda balans mövcuddur
History,3,Part time,,Cavab verməkdə çətinlik çəkirəm,Zəif,2,Ayda bir dəfə,Qismən razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Razı deyiləm
Biology,3,Full time,Engineer,Razı deyiləm,Zəif,7,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Qismən razıyam,Yaxşı,Qismən razıyam,Qismən razıyam
Economy,3,Part time,media especialist,Razı deyiləm,Orta,5,Semestrdə bir dəfədən az,Qismən razıyam,Cavab verməkdə çətinlik çəkirəm,Cavab verməkdə çətinlik çəkirəm,Orta,Qismən razıyam,Qismən razıyam
Geology,3,Full time,,Heç razı deyiləm,Çox zəif,2,Ayda bir dəfə,Razı deyiləm,Razı deyiləm,Razı deyiləm,Zəif,Razı deyiləm,Razı deyiləm
Pedagogy,1,Part time,teaching,Razı deyiləm,Çox zəif,7,Ayda bir dəfə,Qismən razıyam,Tam razıyam,Tam razıyam,Yaxşı,Cavab verməkdə çətinlik çəkirəm,Qismən razıyam
,3,Full time,teaching,Razı deyiləm,Yaxşı,10,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Razı deyiləm
,1,Full time,,Heç razı deyiləm,Çox zəif,5,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Heç razı deyiləm
Biology,2,Full time,researcher,Qismən razıyam,Orta,5,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Qismən razıyam
Mathematics,1,Full time,teaching,Qismən razıyam,Zəif,10,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Pedagogy,1,Full time,teaching,Tam razıyam,Əla,10,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
,,Part time,,Razı deyiləm,Çox zəif,2,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Economy,2,Full time,,Razı deyiləm,Orta,9,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Yaxşı,Xeyli razıyam,Qismən razıyam
Geography,4,Part time,teaching,Qismən razıyam,Əla,8,Ayda bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
Pedagogy,2,Part time,Administrative,Razı deyiləm,Orta,8,Ayda bir dəfə,Qismən razıyam,Qismən razıyam,Tam razıyam,Əla,Xeyli razıyam,Cavab verməkdə çətinlik çəkirəm
Pedagogy,4,Part time,teaching,Razı deyiləm,Orta,7,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Qismən razıyam
Politology,2,Full time,teaching,Tam razıyam,Yaxşı,9,Həftədə bir dəfə,Tam razıyam,Tam razıyam,Tam razıyam,Əla,Xeyli razıyam,Tam razıyam
